file_id,filename,events_detected,spikes_recorded,processing_time_s,start_datetime
1,001.csv,6,18,62.63911843299866,20250818-165900
2,002.csv,6,14,71.10465049743652,20250818-165900
3,003.csv,3,7,44.359358072280884,20250818-165900
4,004.csv,4,18,52.47893977165222,20250818-165900
5,005.csv,5,12,68.31218838691711,20250818-165900
6,006.csv,4,8,48.44830298423767,20250818-165900
7,007.csv,4,9,46.209131956100464,20250818-165900
8,008.csv,5,15,54.66291403770447,20250818-165900
9,009.csv,3,6,56.37045240402222,20250818-165900
10,010.csv,7,126,78.10123610496521,20250818-165900
11,011.csv,1,64,25.501959562301636,20250818-165900
12,012.csv,1,64,24.875734567642212,20250818-165900
13,013.csv,1,64,25.47960090637207,20250818-165900
14,014.csv,1,64,25.0043888092041,20250818-165900
15,015.csv,1,64,26.138091564178467,20250818-165900
16,016.csv,2,86,33.321075201034546,20250818-165900
17,017.csv,11,87,107.78411650657654,20250818-165900
18,018.csv,15,116,175.43865442276,20250818-165900
19,019.csv,21,238,289.0569305419922,20250818-165900
20,020.csv,11,88,165.5561842918396,20250818-165900
21,021.csv,12,56,230.2112681865692,20250818-165900
22,022.csv,18,152,395.53204345703125,20250818-165900
23,023.csv,17,111,362.48177003860474,20250818-165900
24,024.csv,19,162,381.07960319519043,20250818-165900
25,025.csv,17,177,346.0405852794647,20250818-165900
26,026.csv,22,168,298.34107065200806,20250818-165900
27,027.csv,1,64,24.00655174255371,20250818-165900
28,028.csv,1,64,23.01371669769287,20250818-165900
29,029.csv,1,64,25.684699535369873,20250818-165900
30,030.csv,1,64,22.865859746932983,20250818-165900
31,031.csv,1,64,35.11928987503052,20250818-165900
